Name,Date,La,Lo,Place,Notes
Joan Jonas,1975,52.519171,13.406091,Berlin International Filmforum,
Joan Jonas,1975,40.440625,-79.995886,Carnegie Mellon University,
Joan Jonas,1975,39.103118,-84.51202,Contemporary Arts Center,
Joan Jonas,1976,40.773343,-73.963598,The Whitney Museum of American Art,
Joan Jonas,1976,48.856614,2.352222,Musee deArt Moderne,
Joan Jonas,1976,41.293939,-82.217379,"Allen Memorial Art Museum, Oberlin Museum",
Joan Jonas,1976,53.484349,-2.341242,Scottish Arts Council,
Joan Jonas,1977,40.745377,-74.006871,The Kitchen,
Joan Jonas,1977,47.269212,11.404102,Galerie Krinzinger,"""Frauenkunst-Neue Tendenzen"""
Joan Jonas,1977,51.312711,9.479746,Documenta 6,
